n_code	pc_name	type	os	ip_valid	ip_local	mac	net_type	switch	port	shutdown	vlan	motherboard	cpu	ram	hdd	comments	mark	clean_at
9585766959	AB-17SH-BM2	pc	10 Windows	192.168.175.165	192.168.175.165	708bcd82190c	wireless			1	1752	H110M-C	Intel(R) Core(TM) i3-6100 CPU @ 3.70GHz	4096	HDD		0	
2795950689	MA-17SH-DENT	pc	7 Windows	192.168.175.199	192.168.175.199	fcaa1437e26a	wireless			1	1752	H81M-S2PT	Intel(R) Core(TM) i3-4150 CPU @ 3.50GHz	2048	HDD		1	
5222452874	AB-17SH-DR1	pc	7 Windows	192.168.175.157	192.168.175.157	1c6f6527f756	wireless			1	1752	EP41T-UD3L	Pentium(R) Dual-Core  CPU      E5400  @ 2.70GHz	2048	HDD		0	
7724412612	AB-17SH-EZDEVAJ	pc	7 Windows	192.168.175.156	192.168.175.156	50e549cc280d	wireless			1	1752	H61MA-D2V	Intel(R) Core(TM) i3-2100 CPU @ 3.10GHz	2048	HDD		0	
2954704745	AB-17SH-LAB1	pc	7 Windows	192.168.175.175	192.168.175.175	00241d8b811b	wireless			1	1752	EP41-UD3L	Pentium(R) Dual-Core  CPU      E5300  @ 2.60GHz	2048	HDD		0	
1600286198	AB-17SH-LAB2	pc	7 Windows	192.168.175.148	192.168.175.148	0016e63ef937	wireless			1	1752	945PL-S3 	Intel(R) Pentium(R) 4 CPU 3.00GHz	2048	HDD		0	
9137317062	MA-17SH-LAB3	pc	10 Windows	192.168.175.142	192.168.175.142	408d5c96ee64	wireless			1	1752	H81M-S2PH	Intel(R) Core(TM) i3-4170 CPU @ 3.70GHz	4096	HDD		0	2026-02-08
0885727024	MA-17SH-LAB4	pc	10 Windows	192.168.175.176	192.168.175.176	38d547775857	wireless			1	1752	H110M-C	Intel(R) Core(TM) i3-6100 CPU @ 3.70GHz	4096	HDD		0	
7016684242	AB-17SH-P1-3	pc	10 Windows	192.168.175.138	192.168.175.138	408d5c9370ff	wireless			1	1752	H81M-S2PH	Intel(R) Core(TM) i3-4170 CPU @ 3.70GHz	4096	HDD		0	
2426240446	AB-17SH-P3-1	pc	10 Windows	192.168.175.207	192.168.175.207	408d5c96eeef	wireless			1	1752	H81M-S2PH	Intel(R) Core(TM) i3-4170 CPU @ 3.70GHz	4096	HDD		0	
1081149811	AB-17SH-P3-2	pc	7 Windows	192.168.175.167	192.168.175.167	408d5c96eeac	wireless			1	1752	H81M-S2PH	Intel(R) Core(TM) i3-4170 CPU @ 3.70GHz	4096	HDD		0	
8127028027	AB-17SH-P3-3	pc	7 Windows	192.168.175.155	192.168.175.155	408d5c96f788	wireless			1	1752	H81M-S2PH	Intel(R) Core(TM) i3-4170 CPU @ 3.70GHz	4096	HDD		1	
7391691009	MA-17SH-PAZIRESH	pc	10 Windows	192.168.175.132	192.168.175.132	50e549cc2dc6	wireless			1	1752	H61MA-D2V	Intel(R) Core(TM) i3-2100 CPU @ 3.10GHz	2048	HDD		0	
2577371273	AB-17SH-RAVAN	pc	10 Windows	192.168.175.162	192.168.175.162	408d5c96ee30	wireless			1	1752	H81M-S2PH	Intel(R) Core(TM) i3-4170 CPU @ 3.70GHz	4096	HDD		0	
0711783646	AB-17SH-TAGHZIE	pc	10 Windows	192.168.175.159	192.168.175.159	408d5c96ee48	wireless			1	1752	H81M-S2PH	Intel(R) Core(TM) i3-4170 CPU @ 3.70GHz	4096	HDD		0	
5826804717	AB-17SH-VACCINE	pc	7 Windows	192.168.175.172	192.168.175.172	8c89a581a5a3	wireless			1	1752	P41-C33 (MS-7610)	Intel(R) Pentium(R) 4 CPU 3.00GHz	2048	HDD		0	
6998672957	AB-ABBAS-DR	pc	10 Windows	100.80.16.32	192.168.175.166	9439e5dbb5e1	hiweb			0		0FXK2Y	Intel(R) Core(TM) i5-2430M CPU @ 2.40GHz	8192	HDD		0	
7512950941	AB-ABBAS-DRUG	pc	7 Windows	100.80.16.32	192.168.175.140	708bcd817bbb	hiweb			0		H110M-C	Intel(R) Core(TM) i3-6100 CPU @ 3.70GHz	4096	HDD		0	
6568736142	AB-ABBAS-KH1	pc	10 Windows	5.115.142.126	192.168.175.131	38d547775cb5	hiweb			0		H110M-C	Intel(R) Core(TM) i3-6100 CPU @ 3.70GHz	4096	HDD		0	
0304828193	AB-ABBAS-KH2	pc	7 Windows	5.115.142.126	192.168.175.151	444553544f53	hiweb			0		H61M-S2P-B3	Intel(R) Core(TM) i3-2100 CPU @ 3.10GHz	2048	HDD		0	
1817932847	AB-ABBAS-MAMA	pc	7 Windows	100.80.16.32	192.168.175.15	708bcd82107d	hiweb			0		H110M-C	Intel(R) Core(TM) i3-6100 CPU @ 3.70GHz	4096	HDD		0	
8175179965	AB-ABBAS-NAZER	pc	10 Windows	100.80.16.32	192.168.175.35	50e549871a93	hiweb			0		H61M-S2P-B3	Intel(R) Core(TM) i3-2100 CPU @ 3.10GHz	2048	HDD		0	
5422101593	MA-ABBAS-PAZIR	pc	7 Windows	100.80.16.32	192.168.175.29	50e549860544	hiweb			0		H61M-S2P-B3	Intel(R) Core(TM) i3-2100 CPU @ 3.10GHz	2048	HDD		0	
2584968379	AB-AL-AUDIOMETR	pc	7 Windows	192.168.175.143	192.168.175.143	902b3409204f	wireless			1	1752	H61MA-D2V	Intel(R) Core(TM) i3-2120 CPU @ 3.30GHz	2048	HDD		0	
6658537421	AB-AL-BH	pc	10 Windows	192.168.175.168	192.168.175.168	408d5c96ee55	wireless			1	1752	H81M-S2PH	Intel(R) Core(TM) i3-4170 CPU @ 3.70GHz	4096	HDD		0	
